cuisine,ingredients
African,"['peppers', 'sweet potatoes', 'red onions', 'cherry tomatoes', 'harissa', 'olive oil', 'black pepper']"
African,"['sirloin', 'vegetable oil', 'onion', 'garlic', 'ginger', 'dried chilli', 'chopped tomatoes', 'tomato purée', 'beef stock', 'thyme', 'Scotch bonnet chilli', 'plantain', 'black pepper']"
African,"['olive oil', 'onion', 'garlic', 'lamb mince', 'curry powder', 'lemon', 'mango chutney', 'sultanas', 'almonds', 'white bread', 'black pepper', 'eggs', 'milk', 'rice', 'chutneys', 'yoghurt']"
African,"['butter', 'milk', 'breadcrumbs', 'eggs', 'olive oil', 'lamb mince', 'onions', 'bay leaf', 'cloves', 'curry paste', 'lamb stock', 'Worcestershire sauce', 'mango chutney', 'raisins', 'dried apricots', 'vinegar']"
African,"['olive oil', 'onion', 'garlic', 'chilli', 'ginger', 'curry leaves', 'cumin', 'fennel seeds', 'coriander', 'turmeric', 'mustard seeds', 'tomato purée', 'tomatoes', 'tamarind', 'prawns', 'black pepper', 'bread', 'coconut', 'curry leaves', 'coriander cress', 'basil']"
African,"['vegetable oil', 'cumin', 'fennel seeds', 'cinnamon', 'cardamom', 'star anise', 'bay leaf', 'onion', 'curry powder', 'tomatoes', 'leg of lamb', 'ginger', 'garlic', 'curry leaves', 'potatoes', 'salt', 'coriander', 'lime juice', 'white bread', 'coriander cress']"
African,"['cloves', 'fennel seeds', 'mustard seeds', 'cardamom', 'black peppercorns', 'cumin', 'chilli', 'coriander seeds', 'turmeric', 'cinnamon', 'ground ginger', 'curry leaves', 'dried apricots', 'olive oil', 'red onion', 'pepper', 'pepper', 'garlic', 'cauliflower', 'chickpeas', 'green beans', 'chutney', 'parsley', 'rice', 'flatbreads']"
African,"['olive oil', 'onions', 'chicken thighs', 'fresh coriander', 'garlic', 'turmeric', 'ground ginger', 'black pepper', 'chicken stock', 'honey', 'cinnamon', 'almonds', 'pistachio', 'caster sugar', 'butter', 'eggs', 'filo pastry', 'lemons', 'egg yolk', 'icing sugar', 'salt', 'olive oil', 'thyme', 'lemon juice', 'oranges', 'carrots', 'cucumber', 'olives', 'walnuts', 'sea salt']"
African,"['peppercorns', 'cardamom', 'cloves', 'oil', 'onions', 'chorizo', 'chicken stock', 'cinnamon', 'ginger', 'chilli', 'goats', 'new potatoes', 'tomatoes', 'parsley', 'black pepper']"
African,"['salt', 'coriander seeds', 'fennel seeds', 'star anise', 'stem ginger', 'pork chops', 'dried apricots', 'raisins', 'mustard seeds', 'mustard seeds', 'caster sugar', 'vinegar', 'ground almonds', 'dried apricots', 'chilli', 'fresh coriander', 'radish', 'radishes', 'olive oil', 'black pepper', 'watercress']"
